temporada;data_jogo;rodada;time_casa;time_fora;gols_casa;gols_fora;placar;resultado
2013;2013-08-24 18:30:00;16;Flamengo-RJ;Gremio-RS;0;1;0-1;Vitória Fora
2013;2013-08-24 18:30:00;16;Ponte Preta-SP;Cruzeiro-MG;0;2;0-2;Vitória Fora
2013;2013-08-24 18:30:00;16;Santos-SP;Vitoria-BA;2;0;2-0;Vitória Casa
2013;2013-08-24 21:00:00;16;Criciuma-SC;Coritiba-PR;2;1;2-1;Vitória Casa
2013;2013-08-25 16:00:00;16;Atletico-MG;Portuguesa-SP;2;1;2-1;Vitória Casa
2013;2013-08-25 16:00:00;16;Bahia-BA;Nautico-PE;2;0;2-0;Vitória Casa
2013;2013-08-25 16:00:00;16;Vasco da Gama-RJ;Corinthians-SP;1;1;1-1;Empate
2013;2013-08-25 16:00:00;16;Sao Paulo-SP;Fluminense-RJ;2;1;2-1;Vitória Casa
2013;2013-08-25 18:30:00;16;Internacional-RS;Goias-GO;3;3;3-3;Empate
2013;2013-08-25 18:30:00;16;Atletico-PR;Botafogo-RJ;2;0;2-0;Vitória Casa
2013;2013-08-31 18:30:00;17;Nautico-PE;Atletico-PR;1;4;1-4;Vitória Fora
2013;2013-08-31 18:30:00;17;Portuguesa-SP;Bahia-BA;4;2;4-2;Vitória Casa
2013;2013-08-31 18:30:00;17;Gremio-RS;Ponte Preta-SP;1;0;1-0;Vitória Casa
2013;2013-08-31 18:30:00;17;Goias-GO;Atletico-MG;0;0;0-0;Empate
2013;2013-08-31 21:00:00;17;Fluminense-RJ;Santos-SP;0;2;0-2;Vitória Fora
2013;2013-09-01 16:00:00;17;Coritiba-PR;Internacional-RS;0;0;0-0;Empate
2013;2013-09-01 16:00:00;17;Vitoria-BA;Criciuma-SC;0;1;0-1;Vitória Fora
2013;2013-09-01 16:00:00;17;Botafogo-RJ;Sao Paulo-SP;0;0;0-0;Empate
2013;2013-09-01 16:00:00;17;Corinthians-SP;Flamengo-RJ;4;0;4-0;Vitória Casa
2013;2013-09-01 18:30:00;17;Cruzeiro-MG;Vasco da Gama-RJ;5;3;5-3;Vitória Casa
2013;2013-09-03 19:30:00;18;Goias-GO;Gremio-RS;2;0;2-0;Vitória Casa
2013;2013-09-04 19:30:00;18;Flamengo-RJ;Vitoria-BA;2;1;2-1;Vitória Casa
2013;2013-09-04 19:30:00;18;Atletico-PR;Santos-SP;2;1;2-1;Vitória Casa
2013;2013-09-04 21:00:00;18;Portuguesa-SP;Ponte Preta-SP;2;1;2-1;Vitória Casa
2013;2013-09-04 21:50:00;18;Internacional-RS;Corinthians-SP;1;0;1-0;Vitória Casa
2013;2013-09-04 21:50:00;18;Atletico-MG;Fluminense-RJ;2;2;2-2;Empate
2013;2013-09-04 21:50:00;18;Bahia-BA;Cruzeiro-MG;1;3;1-3;Vitória Fora
2013;2013-09-05 19:30:00;18;Botafogo-RJ;Coritiba-PR;3;1;3-1;Vitória Casa
2013;2013-09-05 21:00:00;18;Sao Paulo-SP;Criciuma-SC;1;2;1-2;Vitória Fora
2013;2013-09-05 21:00:00;18;Nautico-PE;Vasco da Gama-RJ;0;3;0-3;Vitória Fora
2013;2013-09-07 18:30:00;19;Santos-SP;Goias-GO;1;0;1-0;Vitória Casa
2013;2013-09-07 18:30:00;19;Fluminense-RJ;Bahia-BA;1;0;1-0;Vitória Casa
2013;2013-09-07 18:30:00;19;Vitoria-BA;Atletico-MG;1;1;1-1;Empate
2013;2013-09-07 18:30:00;19;Ponte Preta-SP;Internacional-RS;1;3;1-3;Vitória Fora
2013;2013-09-07 21:00:00;19;Gremio-RS;Portuguesa-SP;3;2;3-2;Vitória Casa
2013;2013-09-08 16:00:00;19;Coritiba-PR;Sao Paulo-SP;2;0;2-0;Vitória Casa
